,model1,model2,model3,model4,model5,model6,model7,model8,model9,model10
20-9 train,0.1002,0.1902,0.3422,0.1924,0.241,0.3286,0.1,0.4222,0.1002,0.1
20-9 test,0.10015003750937734,0.1404101025256314,0.13715928982245562,0.11815453863465866,0.11377844461115279,0.12228057014253563,0.1000250062515629,0.11877969492373093,0.10015003750937734,0.1000250062515629
20-21 train,0.1462,0.1988,0.5862,0.1002,0.6778,0.6714,0.7858,0.1,0.1,0.1002
20-21 test,0.12028007001750438,0.10990247561890473,0.1329082270567642,0.10015003750937734,0.1464116029007252,0.1447861965491373,0.14416104026006502,0.1000250062515629,0.1000250062515629,0.10015003750937734
50-9 train,0.1472,0.174,0.284,0.1,0.2696,0.1466,0.407,0.3246,0.1,0.2204
50-9 test,0.13490872718179545,0.1474118529632408,0.13628407101775444,0.1000250062515629,0.1259064766191548,0.10127531882970743,0.12890722680670166,0.1264066016504126,0.1000250062515629,0.109152288072018
50-21 train,0.1,0.306,0.1,0.4436,0.5716,0.5424,0.1,0.1,0.1,0.1
50-21 test,0.1000250062515629,0.14028507126781695,0.1000250062515629,0.13978494623655913,0.13878469617404351,0.13865966491622905,0.1000250062515629,0.1000250062515629,0.1000250062515629,0.1000250062515629
