,model1,model2,model3,model4,model5,model6,model7,model8,model9,model10
20-9 train,0.1328,0.1892,0.3618,0.3046,0.2256,0.4216,0.1002,0.3558,0.4016,0.5792
20-9 test,0.11440360090022506,0.1385346336584146,0.14166041510377594,0.1194048512128032,0.1110277569392348,0.1261565391347837,0.10015003750937734,0.13840960240060016,0.11152788197049263,0.13478369592398098
20-21 train,0.1802,0.1678,0.273,0.1,0.1002,0.1002,0.1,0.4112,0.7128,0.1
20-21 test,0.14616154038509627,0.11165291322830707,0.12040510127531882,0.10015003750937734,0.10015003750937734,0.10015003750937734,0.10015003750937734,0.1382845711427857,0.13278319579894973,0.1000250062515629
50-9 train,0.131,0.1708,0.2458,0.3208,0.2798,0.4384,0.1,0.2892,0.3738,0.2442
50-9 test,0.12228057014253563,0.1436609152288072,0.12565641410352588,0.13490872718179545,0.12878219554888723,0.13328332083020755,0.1000250062515629,0.13815953988497123,0.12378094523630907,0.11352838209552388
50-21 train,0.1,0.1,0.1,0.1,0.4416,0.665,0.1,0.4156,0.5942,0.1
50-21 test,0.1000250062515629,0.1000250062515629,0.1000250062515629,0.1000250062515629,0.13240810202550637,0.1434108527131783,0.1000250062515629,0.1452863215803951,0.13865966491622905,0.1000250062515629
